site,year,month,age,case
Nanoro,1965,1,100,1904
Nanoro,1965,1,5,0
Nanoro,1965,2,100,2771
Nanoro,1965,2,5,0
Nanoro,1965,3,100,2849
Nanoro,1965,3,5,0
Nanoro,1965,4,100,2838
Nanoro,1965,4,5,0
Nanoro,1965,5,100,1953
Nanoro,1965,5,5,0
Nanoro,1965,6,100,1388
Nanoro,1965,6,5,0
Nanoro,1965,7,100,1495
Nanoro,1965,7,5,0
Nanoro,1965,8,100,5315
Nanoro,1965,8,5,0
Nanoro,1965,9,100,5804
Nanoro,1965,9,5,0
Nanoro,1965,10,100,5184
Nanoro,1965,10,5,0
Nanoro,1965,11,100,4613
Nanoro,1965,11,5,0
Nanoro,1965,12,100,2752
Nanoro,1965,12,5,0
