DS_Name,Date,age,case
Sapone2,2015-01-01,ov5,1013
Sapone2,2015-01-01,u5,0
Sapone2,2016-01-01,ov5,1195
Sapone2,2016-01-01,u5,898
Sapone2,2017-01-01,ov5,1567
Sapone2,2017-01-01,u5,1526
Sapone2,2018-01-01,ov5,1985
Sapone2,2018-01-01,u5,1963
Sapone2,2015-02-01,ov5,1225
Sapone2,2015-02-01,u5,0
Sapone2,2016-02-01,ov5,1215
Sapone2,2016-02-01,u5,1213
Sapone2,2017-02-01,ov5,1782
Sapone2,2017-02-01,u5,1823
Sapone2,2018-02-01,ov5,1416
Sapone2,2018-02-01,u5,1602
Sapone2,2015-03-01,ov5,1092
Sapone2,2015-03-01,u5,0
Sapone2,2016-03-01,ov5,1037
Sapone2,2016-03-01,u5,907
Sapone2,2017-03-01,ov5,1044
Sapone2,2017-03-01,u5,1107
Sapone2,2018-03-01,ov5,847
Sapone2,2018-03-01,u5,860
Sapone2,2015-04-01,ov5,1230
Sapone2,2015-04-01,u5,0
Sapone2,2016-04-01,ov5,990
Sapone2,2016-04-01,u5,921
Sapone2,2017-04-01,ov5,1379
Sapone2,2017-04-01,u5,1365
Sapone2,2018-04-01,ov5,731
Sapone2,2018-04-01,u5,716
Sapone2,2015-05-01,ov5,938
Sapone2,2015-05-01,u5,0
Sapone2,2016-05-01,ov5,835
Sapone2,2016-05-01,u5,769
Sapone2,2017-05-01,ov5,1236
Sapone2,2017-05-01,u5,996
Sapone2,2018-05-01,ov5,673
Sapone2,2018-05-01,u5,504
Sapone2,2015-06-01,ov5,820
Sapone2,2015-06-01,u5,0
Sapone2,2016-06-01,ov5,905
Sapone2,2016-06-01,u5,921
Sapone2,2017-06-01,ov5,1071
Sapone2,2017-06-01,u5,1136
Sapone2,2018-06-01,ov5,532
Sapone2,2018-06-01,u5,528
Sapone2,2015-07-01,ov5,1552
Sapone2,2015-07-01,u5,0
Sapone2,2016-07-01,ov5,2825
Sapone2,2016-07-01,u5,3710
Sapone2,2017-07-01,ov5,3635
Sapone2,2017-07-01,u5,4986
Sapone2,2018-07-01,ov5,1970
Sapone2,2018-07-01,u5,2374
Sapone2,2015-08-01,ov5,3216
Sapone2,2015-08-01,u5,31
Sapone2,2016-08-01,ov5,3268
Sapone2,2016-08-01,u5,2504
Sapone2,2017-08-01,ov5,3926
Sapone2,2017-08-01,u5,3054
Sapone2,2018-08-01,ov5,4773
Sapone2,2018-08-01,u5,3937
Sapone2,2015-09-01,ov5,4003
Sapone2,2015-09-01,u5,54
Sapone2,2016-09-01,ov5,3575
Sapone2,2016-09-01,u5,3321
Sapone2,2017-09-01,ov5,3631
Sapone2,2017-09-01,u5,3765
Sapone2,2018-09-01,ov5,5011
Sapone2,2018-09-01,u5,4498
Sapone2,2015-10-01,ov5,4265
Sapone2,2015-10-01,u5,4276
Sapone2,2016-10-01,ov5,6973
Sapone2,2016-10-01,u5,6746
Sapone2,2017-10-01,ov5,4099
Sapone2,2017-10-01,u5,4030
Sapone2,2018-10-01,ov5,5521
Sapone2,2018-10-01,u5,5114
Sapone2,2015-11-01,ov5,3162
Sapone2,2015-11-01,u5,2730
Sapone2,2016-11-01,ov5,2558
Sapone2,2016-11-01,u5,1765
Sapone2,2017-11-01,ov5,2490
Sapone2,2017-11-01,u5,2328
Sapone2,2018-11-01,ov5,3995
Sapone2,2018-11-01,u5,3549
Sapone2,2015-12-01,ov5,1486
Sapone2,2015-12-01,u5,1255
Sapone2,2016-12-01,ov5,1895
Sapone2,2016-12-01,u5,1957
Sapone2,2017-12-01,ov5,1564
Sapone2,2017-12-01,u5,2253
Sapone2,2018-12-01,ov5,2250
Sapone2,2018-12-01,u5,2624
Boromo,2015-01-01,ov5,3236
Boromo,2015-01-01,u5,0
Boromo,2016-01-01,ov5,3242
Boromo,2016-01-01,u5,2154
Boromo,2017-01-01,ov5,3851
Boromo,2017-01-01,u5,4316
Boromo,2018-01-01,ov5,6418
Boromo,2018-01-01,u5,5813
Boromo,2015-02-01,ov5,3886
Boromo,2015-02-01,u5,0
Boromo,2016-02-01,ov5,3378
Boromo,2016-02-01,u5,2673
Boromo,2017-02-01,ov5,5531
Boromo,2017-02-01,u5,6295
Boromo,2018-02-01,ov5,6012
Boromo,2018-02-01,u5,5858
Boromo,2015-03-01,ov5,3193
Boromo,2015-03-01,u5,0
Boromo,2016-03-01,ov5,3532
Boromo,2016-03-01,u5,2422
Boromo,2017-03-01,ov5,5270
Boromo,2017-03-01,u5,5427
Boromo,2018-03-01,ov5,2774
Boromo,2018-03-01,u5,2855
Boromo,2015-04-01,ov5,3910
Boromo,2015-04-01,u5,0
Boromo,2016-04-01,ov5,2991
Boromo,2016-04-01,u5,1964
Boromo,2017-04-01,ov5,4647
Boromo,2017-04-01,u5,4496
Boromo,2018-04-01,ov5,2583
Boromo,2018-04-01,u5,2021
Boromo,2015-05-01,ov5,3087
Boromo,2015-05-01,u5,0
Boromo,2016-05-01,ov5,2526
Boromo,2016-05-01,u5,1518
Boromo,2017-05-01,ov5,3209
Boromo,2017-05-01,u5,2974
Boromo,2018-05-01,ov5,2521
Boromo,2018-05-01,u5,1656
Boromo,2015-06-01,ov5,2728
Boromo,2015-06-01,u5,0
Boromo,2016-06-01,ov5,2942
Boromo,2016-06-01,u5,3011
Boromo,2017-06-01,ov5,3723
Boromo,2017-06-01,u5,4091
Boromo,2018-06-01,ov5,2500
Boromo,2018-06-01,u5,1900
Boromo,2015-07-01,ov5,3427
Boromo,2015-07-01,u5,0
Boromo,2016-07-01,ov5,6024
Boromo,2016-07-01,u5,10495
Boromo,2017-07-01,ov5,6396
Boromo,2017-07-01,u5,9576
Boromo,2018-07-01,ov5,4768
Boromo,2018-07-01,u5,5716
Boromo,2015-08-01,ov5,6818
Boromo,2015-08-01,u5,0
Boromo,2016-08-01,ov5,7994
Boromo,2016-08-01,u5,13160
Boromo,2017-08-01,ov5,8507
Boromo,2017-08-01,u5,6139
Boromo,2018-08-01,ov5,9688
Boromo,2018-08-01,u5,7041
Boromo,2015-09-01,ov5,7321
Boromo,2015-09-01,u5,0
Boromo,2016-09-01,ov5,8494
Boromo,2016-09-01,u5,12951
Boromo,2017-09-01,ov5,7319
Boromo,2017-09-01,u5,5012
Boromo,2018-09-01,ov5,10317
Boromo,2018-09-01,u5,6564
Boromo,2015-10-01,ov5,8531
Boromo,2015-10-01,u5,0
Boromo,2016-10-01,ov5,7904
Boromo,2016-10-01,u5,10607
Boromo,2017-10-01,ov5,8555
Boromo,2017-10-01,u5,6102
Boromo,2018-10-01,ov5,11356
Boromo,2018-10-01,u5,8372
Boromo,2015-11-01,ov5,7506
Boromo,2015-11-01,u5,0
Boromo,2016-11-01,ov5,5446
Boromo,2016-11-01,u5,6831
Boromo,2017-11-01,ov5,7198
Boromo,2017-11-01,u5,5065
Boromo,2018-11-01,ov5,10940
Boromo,2018-11-01,u5,7245
Boromo,2015-12-01,ov5,4319
Boromo,2015-12-01,u5,0
Boromo,2016-12-01,ov5,4037
Boromo,2016-12-01,u5,5371
Boromo,2017-12-01,ov5,3880
Boromo,2017-12-01,u5,5074
Boromo,2018-12-01,ov5,6801
Boromo,2018-12-01,u5,7857
Dedougou,2015-01-01,ov5,3909
Dedougou,2015-01-01,u5,0
Dedougou,2016-01-01,ov5,4759
Dedougou,2016-01-01,u5,2937
Dedougou,2017-01-01,ov5,6397
Dedougou,2017-01-01,u5,6853
Dedougou,2018-01-01,ov5,7213
Dedougou,2018-01-01,u5,7431
Dedougou,2015-02-01,ov5,4284
Dedougou,2015-02-01,u5,0
Dedougou,2016-02-01,ov5,4477
Dedougou,2016-02-01,u5,3223
Dedougou,2017-02-01,ov5,6551
Dedougou,2017-02-01,u5,8237
Dedougou,2018-02-01,ov5,8795
Dedougou,2018-02-01,u5,8206
Dedougou,2015-03-01,ov5,3964
Dedougou,2015-03-01,u5,0
Dedougou,2016-03-01,ov5,3722
Dedougou,2016-03-01,u5,2979
Dedougou,2017-03-01,ov5,6355
Dedougou,2017-03-01,u5,7010
Dedougou,2018-03-01,ov5,3875
Dedougou,2018-03-01,u5,4234
Dedougou,2015-04-01,ov5,3605
Dedougou,2015-04-01,u5,0
Dedougou,2016-04-01,ov5,4021
Dedougou,2016-04-01,u5,2517
Dedougou,2017-04-01,ov5,5875
