"","adm1","adm2","month","year","crude_incidence_u5","adjinc3_u5","crude_incidence_ov5","adjinc3_ov5","crude_incidence_all_age","adjinc_all_ages"
"1","centre sud","sapone",1,2016,51.4840123102603,92.9786209297809,68.0194043085911,122.841055412801,20.4784886668795,31.6240501695257
"2","centre sud","sapone",1,2017,81.9880837195091,126.160891888589,85.5018587360595,131.567787255242,29.2500045832035,43.8663379640359
"3","centre sud","sapone",1,2018,97.3257779103291,144.691313990926,96.083109653047,145.87507800388,33.9381900824967,51.7197132150114
"4","centre sud","sapone",1,2020,76.7471915697385,101.062235001175,86.2411770553733,113.564104745492,28.4443728637641,38.9328181715444
"5","centre sud","sapone",1,2021,110.789243550503,146.195321251996,108.657630083078,143.382485766635,38.9307569705437,54.9154187228898
"6","centre sud","sapone",2,2016,69.3756194251734,125.290340259988,69.0104845860936,124.630917416515,23.6051905128542,36.3906627798391
"7","centre sud","sapone",2,2017,97.5199877781739,150.060936625247,94.1080613128278,144.810762863423,33.7690432104424,50.5678700413624
"8","centre sud","sapone",2,2018,72.9694800676012,114.750368524962,62.5807734367233,99.7568078801645,23.7737334693366,38.1376222448468
"9","centre sud","sapone",2,2020,64.6684561089571,85.1567148552649,75.1068694701263,98.9022260924714,24.0063706805533,32.6144835590415
"10","centre sud","sapone",2,2021,109.149540883253,144.031601647872,95.6493222562309,126.216976907249,36.3924361976348,50.9315140807368
"11","centre sud","sapone",3,2016,51.5361744301288,93.0728241931343,57.2740076156695,103.435183162006,18.9198324914086,29.2848596016983
"12","centre sud","sapone",3,2017,60.1415694861741,92.5441076524367,56.424097367215,86.8237690761218,20.3494234330027,30.5801395899876
"13","centre sud","sapone",3,2018,44.4378168804056,63.7707958040786,44.9845909136097,64.5554476540169,15.6851165870332,22.8863023170753
"14","centre sud","sapone",3,2020,43.791629386619,57.6656923808519,42.9963217019584,56.6184153342076,14.9603621982427,20.3656015325782
"15","centre sud","sapone",3,2021,61.7074770441627,81.4279811018767,59.4665500655881,78.4708976429068,21.398634422778,29.9267570389699
"16","centre sud","sapone",4,2016,47.4153669605133,85.6307663882177,57.2218454958009,103.340979898652,18.2437888490357,27.6834655699396
"17","centre sud","sapone",4,2017,72.4652441819015,111.507421836933,76.3354891276672,117.462842820493,25.968430894458,38.292257761634
"18","centre sud","sapone",4,2018,36.7829804155483,52.785669904942,39.1191967392385,56.1382732637694,13.3050589645855,19.0534918628567
"19","centre sud","sapone",4,2020,26.493687245253,34.8874166163383,29.4263843324386,38.7492507258392,9.64549668044595,13.0760059783416
"20","centre sud","sapone",4,2021,38.8609532138172,51.2801546177452,49.1364232619152,64.839464136924,15.5250782156982,21.4683543828862
"21","centre sud","sapone",5,2016,41.1037504564186,74.2321715224593,47.3110427207762,85.4423598615109,15.3142663987531,23.401817941752
"22","centre sud","sapone",5,2017,53.3686408310842,82.1221209312054,66.8126495900596,102.809372768837,21.0460703613398,31.2459505951045
"23","centre sud","sapone",5,2018,25.3504324485535,36.3793130425952,35.3911919673924,50.7883742869172,10.7281544711082,15.4679342193229
"24","centre sud","sapone",5,2020,43.6922159260364,57.5347827500214,50.1043841336117,65.9784539385911,16.4456613160108,22.3234136356839
"25","centre sud","sapone",5,2021,35.8548316571928,47.3133353435174,50.5574989068649,66.7146877938316,15.1118632061549,20.9051782316707
"26","centre sud","sapone",6,2016,50.9102289917062,91.9423850328938,50.9623911115748,92.0365882962472,17.8588195526845,27.1838175989179
"27","centre sud","sapone",6,2017,61.1091307226155,94.0329628983268,59.0212354229261,90.8201699993007,20.9269070709663,30.9434843712638
"28","centre sud","sapone",6,2018,27.1398747390397,38.9472645514843,27.7860622328263,39.8745803741386,9.68128702063313,13.9038815760945
"29","centre sud","sapone",6,2020,28.8796102992345,38.0292477562713,37.4291679093349,49.2874760076975,11.5513322954135,15.6939866777658
"30","centre sud","sapone",6,2021,55.039352864014,75.5340089002422,73.4586794927853,100.812023795358,22.6677948092324,31.8530408770353
"31","centre sud","sapone",7,2016,205.049293203276,353.480617867475,153.04365969433,263.829084920674,62.9002272257798,96.0026821760744
